uuid,pedestrian_entrance_uuid,geometry
walkway_63,pedestrian_3827338078,Point (127.0073253 37.4869864)
walkway_64,pedestrian_3827338105,Point (127.0091952 37.4884836)
walkway_65,pedestrian_9891988044,Point (127.0188194 37.5175992)
walkway_66,pedestrian_9891988059,Point (127.0177701 37.5156309)
walkway_67,pedestrian_2295372304,Point (127.0183638 37.4940381)
walkway_68,pedestrian_1962358596,Point (127.0113085 37.5012701)
walkway_69,pedestrian_8489304737,Point (127.0101337 37.5020638)
walkway_70,pedestrian_4184399716,Point (127.0395072 37.4846966)
walkway_71,pedestrian_8486132575,Point (126.9910767 37.4744717)
walkway_72,pedestrian_2295372337,Point (127.019316 37.4948209)
walkway_73,pedestrian_600377854,Point (127.018434 37.5168542)
walkway_74,pedestrian_2244637675,Point (127.0032639 37.5083279)
walkway_75,pedestrian_4181527977,Point (127.0178284 37.5106366)
walkway_76,pedestrian_7760193442,Point (127.0046841 37.5063008)
walkway_77,pedestrian_4185626654,Point (127.0106412 37.5008873)
walkway_78,pedestrian_8526765338,Point (127.0191282 37.4984105)
walkway_79,pedestrian_3827548464,Point (127.0166219 37.493501)
walkway_80,pedestrian_12061673690,Point (127.024403 37.4986494)
walkway_81,pedestrian_1962358617,Point (127.0093392 37.5037131)
walkway_82,pedestrian_3804191248,Point (126.9846275 37.4908709)
walkway_83,pedestrian_2623456230,Point (126.9917238 37.4933121)
walkway_84,pedestrian_11225321857,Point (127.014207 37.519852)
walkway_85,pedestrian_3401867792,Point (127.0175844 37.4997824)
walkway_86,pedestrian_3401867792,Point (127.0175844 37.4997824)
walkway_87,pedestrian_3088424193,Point (126.9950154 37.50588)
walkway_88,pedestrian_10313078477,Point (127.0025698 37.5053512)
walkway_89,pedestrian_2244637675,Point (127.0032639 37.5083279)
walkway_90,pedestrian_4185991264,Point (126.984831 37.4792996)
walkway_91,pedestrian_12061673677,Point (127.0218479 37.5016474)
walkway_92,pedestrian_1962358609,Point (127.0091974 37.4986412)
walkway_93,pedestrian_9882864421,Point (126.9941245 37.4741353)
walkway_94,pedestrian_9607816607,Point (127.0247894 37.4913723)
walkway_95,pedestrian_9608955139,Point (127.0277424 37.4911868)
walkway_96,pedestrian_10313078477,Point (127.0025698 37.5053512)
walkway_97,pedestrian_4185920067,Point (126.9887881 37.4783429)
walkway_98,pedestrian_11428504985,Point (127.0061335 37.5067796)
walkway_99,pedestrian_11428505004,Point (127.001081 37.505564)
walkway_100,pedestrian_1925407818,Point (127.0047655 37.4821243)
walkway_101,pedestrian_1962358623,Point (127.0101882 37.503944)
walkway_102,pedestrian_1925498403,Point (127.0454708 37.4718644)
walkway_103,pedestrian_3827257115,Point (127.0208993 37.4840421)
walkway_104,pedestrian_9711448794,Point (127.0259874 37.4921147)
walkway_105,pedestrian_3827548044,Point (127.0159806 37.49239)
walkway_106,pedestrian_1962358583,Point (127.010175 37.5021184)
walkway_107,pedestrian_1925407817,Point (127.0042489 37.4819932)
walkway_108,pedestrian_9632500766,Point (127.0264156 37.497785)
walkway_109,pedestrian_3734651258,Point (127.0306789 37.4756407)
walkway_110,pedestrian_1925498694,Point (127.03119 37.4745357)
walkway_111,pedestrian_11225321857,Point (127.014207 37.519852)
walkway_112,pedestrian_2509978764,Point (126.9915271 37.4910431)
walkway_113,pedestrian_5628739393,Point (127.0127917 37.4976191)
walkway_114,pedestrian_2623317184,Point (127.0007998 37.499207)
walkway_115,pedestrian_4184399724,Point (127.0357379 37.4840218)
walkway_116,pedestrian_4185626654,Point (127.0106412 37.5008873)
walkway_117,pedestrian_11431861570,Point (126.9999225 37.4779773)
walkway_118,pedestrian_3827170281,Point (127.0262797 37.4871006)
walkway_119,pedestrian_9602018664,Point (127.0211006 37.4902621)
walkway_120,pedestrian_8526765366,Point (127.0195128 37.4962452)
walkway_121,pedestrian_9711448794,Point (127.0259874 37.4921147)
walkway_122,pedestrian_2624211522,Point (126.9879224 37.4967668)
walkway_123,pedestrian_1962358621,Point (127.0104414 37.5024929)
walkway_124,pedestrian_4185626654,Point (127.0106412 37.5008873)
walkway_125,pedestrian_2623456118,Point (126.9936017 37.4891762)
walkway_126,pedestrian_3287124761,Point (127.0003286 37.4807966)
walkway_127,pedestrian_8486814112,Point (126.9859881 37.4872288)
walkway_128,pedestrian_4185991238,Point (126.9842748 37.4847878)
walkway_129,pedestrian_3827548044,Point (127.0159806 37.49239)
walkway_130,pedestrian_1430674330,Point (127.0073801 37.4832934)
walkway_131,pedestrian_3011545193,Point (127.0468537 37.4730143)
walkway_132,pedestrian_2624211522,Point (126.9879224 37.4967668)
walkway_133,pedestrian_8489263448,Point (127.0142468 37.4964903)
walkway_134,pedestrian_2624211615,Point (126.9888526 37.4935397)
walkway_135,pedestrian_8488872314,Point (127.0103015 37.5162968)
walkway_136,pedestrian_1430674330,Point (127.0073801 37.4832934)
walkway_137,pedestrian_4146924168,Point (127.001532 37.5095641)
walkway_138,pedestrian_2533109223,Point (126.9830425 37.4964934)
walkway_139,pedestrian_3827338116,Point (127.0101919 37.4888822)
walkway_140,pedestrian_4185805689,Point (126.9953861 37.4849385)
walkway_141,pedestrian_12061668098,Point (127.0118276 37.5024663)
walkway_142,pedestrian_3827337507,Point (127.0089235 37.4835923)
walkway_143,pedestrian_9691296210,Point (127.0371411 37.4618966)
walkway_144,pedestrian_6337049852,Point (127.0322125 37.4848913)
walkway_145,pedestrian_4184585272,Point (127.0426607 37.4685657)
walkway_146,pedestrian_9602018667,Point (127.0209473 37.4903928)
walkway_147,pedestrian_3827170276,Point (127.0316269 37.4870324)
walkway_148,pedestrian_4146924168,Point (127.001532 37.5095641)
walkway_149,pedestrian_12061673690,Point (127.024403 37.4986494)
walkway_150,pedestrian_2932859105,Point (127.0275072 37.4941516)
walkway_151,pedestrian_4146699336,Point (126.9881033 37.4959582)
walkway_152,pedestrian_3088864938,Point (127.0172885 37.5153735)
walkway_153,pedestrian_2622713691,Point (126.9983159 37.4992582)
walkway_154,pedestrian_1925498516,Point (127.0421599 37.4729346)
walkway_155,pedestrian_1962358596,Point (127.0113085 37.5012701)
walkway_156,pedestrian_3825549657,Point (127.0253334 37.4905603)
walkway_157,pedestrian_1696934690,Point (127.0015179 37.4801609)
walkway_158,pedestrian_6581927926,Point (127.0147676 37.5179571)
walkway_159,pedestrian_4185626653,Point (127.0119577 37.5094558)
walkway_160,pedestrian_4185626653,Point (127.0119577 37.5094558)
walkway_161,pedestrian_4185626653,Point (127.0119577 37.5094558)
walkway_162,pedestrian_4185626653,Point (127.0119577 37.5094558)
walkway_163,pedestrian_1696934735,Point (126.9938079 37.4836053)
walkway_164,pedestrian_11225321857,Point (127.014207 37.519852)
walkway_165,pedestrian_11641428828,Point (127.0035678 37.5056944)
walkway_166,pedestrian_3732523552,Point (127.0321548 37.4748677)
walkway_167,pedestrian_11431861608,Point (127.0065711 37.4782016)
walkway_168,pedestrian_4185991267,Point (126.9854314 37.4788103)
walkway_169,pedestrian_8486814112,Point (126.9859881 37.4872288)
walkway_170,pedestrian_4107783310,Point (126.9963924 37.486061)
walkway_171,pedestrian_8526765366,Point (127.0195128 37.4962452)
walkway_172,pedestrian_4101372795,Point (126.9844667 37.4793186)
walkway_173,pedestrian_1685686596,Point (126.9839232 37.4787916)
walkway_174,pedestrian_9711448794,Point (127.0259874 37.4921147)
walkway_175,pedestrian_12147442531,Point (126.9864003 37.5021971)
walkway_176,pedestrian_12147442531,Point (126.9864003 37.5021971)
walkway_177,pedestrian_927736373,Point (127.044505 37.4696685)
walkway_178,pedestrian_6581927926,Point (127.0147676 37.5179571)
walkway_179,pedestrian_4186016193,Point (126.9833082 37.4895547)
walkway_180,pedestrian_4184425791,Point (127.0413948 37.4793882)
walkway_181,pedestrian_1685686384,Point (126.9861902 37.4833484)
walkway_182,pedestrian_1925498528,Point (127.0442535 37.4730782)
walkway_183,pedestrian_8488872314,Point (127.0103015 37.5162968)
walkway_184,pedestrian_4185715616,Point (127.0090411 37.4807881)
walkway_185,pedestrian_8491008568,Point (127.0249769 37.4709666)
walkway_186,pedestrian_1685716285,Point (126.9853051 37.479292)
walkway_187,pedestrian_3401867792,Point (127.0175844 37.4997824)
walkway_188,pedestrian_2623317184,Point (127.0007998 37.499207)
walkway_189,pedestrian_2295372314,Point (127.0164416 37.4924545)
walkway_190,pedestrian_8491008568,Point (127.0249769 37.4709666)
walkway_191,pedestrian_3827337507,Point (127.0089235 37.4835923)
walkway_192,pedestrian_11225321857,Point (127.014207 37.519852)
walkway_193,pedestrian_3827170281,Point (127.0262797 37.4871006)
walkway_194,pedestrian_600377852,Point (127.017733 37.5162662)
walkway_195,pedestrian_12061668098,Point (127.0118276 37.5024663)
walkway_196,pedestrian_4146699336,Point (126.9881033 37.4959582)
walkway_197,pedestrian_4185835018,Point (126.9929165 37.4826924)
walkway_198,pedestrian_2623456230,Point (126.9917238 37.4933121)
walkway_199,pedestrian_9608955139,Point (127.0277424 37.4911868)
walkway_200,pedestrian_9608955139,Point (127.0277424 37.4911868)
walkway_201,pedestrian_12061673690,Point (127.024403 37.4986494)
walkway_202,pedestrian_436882863,Point (126.9875481 37.4777163)
walkway_203,pedestrian_1962358636,Point (127.0099907 37.4995893)
walkway_204,pedestrian_12147442531,Point (126.9864003 37.5021971)
walkway_205,pedestrian_3112158621,Point (127.0141109 37.5000071)
walkway_206,pedestrian_2623456317,Point (126.9950608 37.491205)
walkway_207,pedestrian_2623456317,Point (126.9950608 37.491205)
walkway_208,pedestrian_2624211522,Point (126.9879224 37.4967668)
walkway_209,pedestrian_11431861570,Point (126.9999225 37.4779773)
walkway_210,pedestrian_9608955311,Point (127.028643 37.4925624)
walkway_211,pedestrian_3827671844,Point (127.013954 37.5069239)
walkway_212,pedestrian_3827170269,Point (127.030976 37.4868354)
walkway_213,pedestrian_436844216,Point (126.9980012 37.4808984)
walkway_214,pedestrian_11641428828,Point (127.0035678 37.5056944)
walkway_215,pedestrian_4634856429,Point (127.0264227 37.471657)
walkway_216,pedestrian_3804191167,Point (126.9871497 37.4866112)
walkway_217,pedestrian_9787421579,Point (127.0056764 37.5063166)
walkway_218,pedestrian_3088864938,Point (127.0172885 37.5153735)
walkway_219,pedestrian_2509978764,Point (126.9915271 37.4910431)
walkway_220,pedestrian_1430655023,Point (127.023977 37.5014947)
walkway_221,pedestrian_3092110166,Point (126.9976591 37.4826096)
walkway_222,pedestrian_9711448794,Point (127.0259874 37.4921147)
walkway_223,pedestrian_3804191181,Point (126.9831418 37.4874249)
walkway_224,pedestrian_4185683883,Point (127.0128561 37.4838664)
walkway_225,pedestrian_9711448794,Point (127.0259874 37.4921147)
walkway_226,pedestrian_436849906,Point (126.9928961 37.4874454)
walkway_227,pedestrian_9607816607,Point (127.0247894 37.4913723)
walkway_228,pedestrian_1962358589,Point (127.0116707 37.4997092)
walkway_229,pedestrian_2244637675,Point (127.0032639 37.5083279)
walkway_230,pedestrian_1430674330,Point (127.0073801 37.4832934)
walkway_231,pedestrian_8489062936,Point (127.0105114 37.5033457)
walkway_232,pedestrian_11428504914,Point (127.0069391 37.507027)
walkway_233,pedestrian_3398354555,Point (127.0446528 37.4733433)
walkway_234,pedestrian_1962358595,Point (127.0106018 37.499595)
walkway_235,pedestrian_3827548475,Point (127.0189385 37.4942201)
walkway_236,pedestrian_2624211577,Point (126.983327 37.4909038)
walkway_237,pedestrian_3827338139,Point (127.0123279 37.4899383)
walkway_238,pedestrian_1962358623,Point (127.0101882 37.503944)
walkway_239,pedestrian_2622874596,Point (126.9915848 37.4975771)
walkway_240,pedestrian_4634856427,Point (127.0254228 37.4710241)
walkway_241,pedestrian_9602018664,Point (127.0211006 37.4902621)
walkway_242,pedestrian_9657790245,Point (127.0285523 37.486405)
walkway_243,pedestrian_11428490498,Point (126.9980616 37.4997931)
walkway_244,pedestrian_2533109223,Point (126.9830425 37.4964934)
walkway_245,pedestrian_4185626654,Point (127.0106412 37.5008873)
walkway_246,pedestrian_2295372338,Point (127.019529 37.4944069)
walkway_247,pedestrian_1962358617,Point (127.0093392 37.5037131)
walkway_248,pedestrian_1962358589,Point (127.0116707 37.4997092)
walkway_249,pedestrian_1962358583,Point (127.010175 37.5021184)
walkway_250,pedestrian_3825549664,Point (127.0290187 37.4927368)
walkway_251,pedestrian_10313078477,Point (127.0025698 37.5053512)
walkway_252,pedestrian_8485785002,Point (126.9877523 37.4769365)
walkway_253,pedestrian_2863407020,Point (127.0460832 37.4717575)
walkway_254,pedestrian_4146924168,Point (127.001532 37.5095641)
walkway_255,pedestrian_12061668098,Point (127.0118276 37.5024663)
walkway_256,pedestrian_2623456230,Point (126.9917238 37.4933121)
walkway_257,pedestrian_8489299002,Point (127.0084521 37.5010977)
walkway_258,pedestrian_3089780842,Point (127.0257067 37.4991293)
walkway_259,pedestrian_3401867792,Point (127.0175844 37.4997824)
walkway_260,pedestrian_3804191167,Point (126.9871497 37.4866112)
walkway_261,pedestrian_1962358640,Point (127.0100363 37.5008999)
walkway_262,pedestrian_3092109566,Point (126.9970753 37.483539)
walkway_263,pedestrian_1962358621,Point (127.0104414 37.5024929)
walkway_264,pedestrian_3274307602,Point (126.996645 37.4841716)
walkway_265,pedestrian_8488927531,Point (127.0130816 37.5181743)
walkway_266,pedestrian_11641428828,Point (127.0035678 37.5056944)
walkway_267,pedestrian_2244637675,Point (127.0032639 37.5083279)
walkway_268,pedestrian_8526765338,Point (127.0191282 37.4984105)
walkway_269,pedestrian_3242828917,Point (126.9859904 37.4875291)
walkway_270,pedestrian_12061668133,Point (127.0118016 37.5011117)
walkway_271,pedestrian_1685716272,Point (126.9824652 37.4827532)
walkway_272,pedestrian_11738027546,Point (127.0094829 37.5074792)
walkway_273,pedestrian_2624211606,Point (126.9883316 37.4933273)
walkway_274,pedestrian_3827337508,Point (127.0096961 37.4837398)
walkway_275,pedestrian_2509978199,Point (126.9921346 37.4900382)
walkway_276,pedestrian_1685716285,Point (126.9853051 37.479292)
walkway_277,pedestrian_2623456118,Point (126.9936017 37.4891762)
walkway_278,pedestrian_11428504914,Point (127.0069391 37.507027)
walkway_279,pedestrian_9711448794,Point (127.0259874 37.4921147)
walkway_280,pedestrian_4634856421,Point (127.0237147 37.4712669)
walkway_281,pedestrian_1696934743,Point (126.9957527 37.4843821)
walkway_282,pedestrian_2624211577,Point (126.983327 37.4909038)
walkway_283,pedestrian_1925498403,Point (127.0454708 37.4718644)
walkway_284,pedestrian_1965713723,Point (127.0142296 37.486372)
walkway_285,pedestrian_3089166486,Point (127.0083783 37.4876403)
walkway_286,pedestrian_1696934728,Point (126.9951485 37.4827176)
walkway_287,pedestrian_1962358640,Point (127.0100363 37.5008999)
walkway_288,pedestrian_3112233913,Point (127.0152218 37.4965088)
walkway_289,pedestrian_1925407818,Point (127.0047655 37.4821243)
walkway_290,pedestrian_2622874644,Point (126.9894149 37.4952181)
walkway_291,pedestrian_1694782908,Point (127.0395006 37.4823056)
walkway_292,pedestrian_436844219,Point (126.9964804 37.4832788)
walkway_293,pedestrian_3827337506,Point (127.0082766 37.4834687)
walkway_294,pedestrian_10313078477,Point (127.0025698 37.5053512)
walkway_295,pedestrian_4185991283,Point (126.9853692 37.4804621)
walkway_296,pedestrian_4185626654,Point (127.0106412 37.5008873)
walkway_297,pedestrian_8489062935,Point (127.0096832 37.5030681)
walkway_298,pedestrian_3401867792,Point (127.0175844 37.4997824)
walkway_299,pedestrian_3401867792,Point (127.0175844 37.4997824)
walkway_300,pedestrian_9990177480,Point (127.0268022 37.4885524)
walkway_301,pedestrian_3401867792,Point (127.0175844 37.4997824)
walkway_302,pedestrian_8495313241,Point (127.0209663 37.5011721)
walkway_303,pedestrian_9891988061,Point (127.0187046 37.5159496)
walkway_304,pedestrian_4101372823,Point (126.9976991 37.481562)
walkway_305,pedestrian_12061673677,Point (127.0218479 37.5016474)
walkway_306,pedestrian_11431861702,Point (127.033327 37.4848607)
walkway_307,pedestrian_3088864938,Point (127.0172885 37.5153735)
walkway_308,pedestrian_11428504914,Point (127.0069391 37.507027)
walkway_309,pedestrian_1696934689,Point (126.9994385 37.4799567)
walkway_310,pedestrian_9608955234,Point (127.0266118 37.4878963)
walkway_311,pedestrian_11428505004,Point (127.001081 37.505564)
walkway_312,pedestrian_2533109194,Point (126.9837325 37.4918781)
walkway_313,pedestrian_9711448794,Point (127.0259874 37.4921147)
walkway_314,pedestrian_3827548459,Point (127.0174313 37.4932165)
walkway_315,pedestrian_1925498528,Point (127.0442535 37.4730782)
walkway_316,pedestrian_3827337502,Point (127.0043103 37.4830809)
walkway_317,pedestrian_4185805742,Point (126.9946883 37.4860009)
walkway_318,pedestrian_3827548039,Point (127.0147246 37.4922607)
walkway_319,pedestrian_3401867792,Point (127.0175844 37.4997824)
walkway_320,pedestrian_9168578784,Point (127.0254436 37.4922579)
walkway_321,pedestrian_436844221,Point (126.9950087 37.4855112)
walkway_322,pedestrian_927740211,Point (127.0476085 37.4723712)
walkway_323,pedestrian_3827338117,Point (127.0138384 37.4889285)
walkway_324,pedestrian_3401867792,Point (127.0175844 37.4997824)
walkway_325,pedestrian_2863416045,Point (127.0463481 37.4718667)
walkway_326,pedestrian_4184585271,Point (127.0443351 37.4698145)
walkway_327,pedestrian_2533109206,Point (126.9828711 37.4939988)
walkway_328,pedestrian_11744211944,Point (127.0561513 37.4471338)
walkway_329,pedestrian_1962358636,Point (127.0099907 37.4995893)
walkway_330,pedestrian_4185834991,Point (126.9943157 37.4852297)
walkway_331,pedestrian_11225358146,Point (127.0138837 37.5153537)
walkway_332,pedestrian_9625915009,Point (127.0238016 37.4973098)
walkway_333,pedestrian_1694784080,Point (127.0397371 37.4844534)
walkway_334,pedestrian_2533109193,Point (126.9827787 37.4916643)
walkway_335,pedestrian_8526765338,Point (127.0191282 37.4984105)
walkway_336,pedestrian_1962358609,Point (127.0091974 37.4986412)
walkway_337,pedestrian_1696934706,Point (126.999224 37.481276)
walkway_338,pedestrian_2295372344,Point (127.0172056 37.493687)
walkway_339,pedestrian_3827169495,Point (127.0303689 37.4852247)
walkway_340,pedestrian_9787421579,Point (127.0056764 37.5063166)
walkway_341,pedestrian_9787421579,Point (127.0056764 37.5063166)
walkway_342,pedestrian_2622874644,Point (126.9894149 37.4952181)
walkway_343,pedestrian_3132428230,Point (127.012364 37.4948111)
walkway_344,pedestrian_12272894341,Point (127.0163097 37.4818252)
walkway_345,pedestrian_2533109227,Point (126.9838173 37.4974141)
walkway_346,pedestrian_3827337502,Point (127.0043103 37.4830809)
walkway_347,pedestrian_436844219,Point (126.9964804 37.4832788)
walkway_348,pedestrian_1685716286,Point (126.9839594 37.4793348)
walkway_349,pedestrian_3827548464,Point (127.0166219 37.493501)
walkway_350,pedestrian_4907534017,Point (127.011938 37.503367)
walkway_351,pedestrian_1962358595,Point (127.0106018 37.499595)
walkway_352,pedestrian_4907534017,Point (127.011938 37.503367)
walkway_353,pedestrian_2295372345,Point (127.0213601 37.4932981)
walkway_354,pedestrian_3732523552,Point (127.0321548 37.4748677)
walkway_355,pedestrian_1962358621,Point (127.0104414 37.5024929)
walkway_356,pedestrian_12061668167,Point (127.0236733 37.4984549)
walkway_357,pedestrian_11428505004,Point (127.001081 37.505564)
walkway_358,pedestrian_1965713684,Point (127.0127345 37.4878003)
walkway_359,pedestrian_2477265753,Point (127.0200649 37.5101355)
walkway_360,pedestrian_2624211522,Point (126.9879224 37.4967668)
walkway_361,pedestrian_4184425789,Point (127.0419479 37.4800049)
walkway_362,pedestrian_3804191161,Point (126.9885131 37.4864449)
walkway_363,pedestrian_1685716300,Point (126.9824315 37.4782949)
walkway_364,pedestrian_927740145,Point (127.0499637 37.4713216)
walkway_365,pedestrian_1962358596,Point (127.0113085 37.5012701)
walkway_366,pedestrian_3804191046,Point (126.9853513 37.4857721)
walkway_367,pedestrian_1694782638,Point (127.0386293 37.4804501)
walkway_368,pedestrian_1685716305,Point (126.982337 37.4805383)
walkway_369,pedestrian_11428504893,Point (126.9954898 37.5031365)
walkway_370,pedestrian_9711448794,Point (127.0259874 37.4921147)
walkway_371,pedestrian_4107783310,Point (126.9963924 37.486061)
walkway_372,pedestrian_9608955329,Point (127.0291235 37.4929408)
walkway_373,pedestrian_4146924168,Point (127.001532 37.5095641)
walkway_374,pedestrian_1925407821,Point (127.004016 37.4826516)
walkway_375,pedestrian_436844215,Point (126.998817 37.4796936)
walkway_376,pedestrian_4146699336,Point (126.9881033 37.4959582)
walkway_377,pedestrian_1925407817,Point (127.0042489 37.4819932)
walkway_378,pedestrian_4907534017,Point (127.011938 37.503367)
walkway_379,pedestrian_4185626654,Point (127.0106412 37.5008873)
walkway_380,pedestrian_4146924168,Point (127.001532 37.5095641)
walkway_381,pedestrian_11738027546,Point (127.0094829 37.5074792)
walkway_382,pedestrian_11428504893,Point (126.9954898 37.5031365)
walkway_383,pedestrian_2533109208,Point (126.9868818 37.4941718)
walkway_384,pedestrian_9632500775,Point (127.0269964 37.4986991)
walkway_385,pedestrian_9711448794,Point (127.0259874 37.4921147)
walkway_386,pedestrian_2551950254,Point (126.9867077 37.4983133)
walkway_387,pedestrian_1962358596,Point (127.0113085 37.5012701)
walkway_388,pedestrian_2624211522,Point (126.9879224 37.4967668)
walkway_389,pedestrian_2551950254,Point (126.9867077 37.4983133)
walkway_390,pedestrian_2533109201,Point (126.9855227 37.4939036)
walkway_391,pedestrian_9891988044,Point (127.0188194 37.5175992)
walkway_392,pedestrian_3827548461,Point (127.015206 37.4932266)
walkway_393,pedestrian_1685716305,Point (126.982337 37.4805383)
walkway_394,pedestrian_2622810001,Point (126.9976503 37.4978263)
walkway_395,pedestrian_12061668090,Point (127.0115141 37.5024145)
walkway_396,pedestrian_4185626654,Point (127.0106412 37.5008873)
walkway_397,pedestrian_1925498528,Point (127.0442535 37.4730782)
walkway_398,pedestrian_8488915373,Point (127.0145814 37.5150128)
walkway_399,pedestrian_3804191169,Point (126.9878076 37.4866884)
walkway_400,pedestrian_11738027546,Point (127.0094829 37.5074792)
walkway_401,pedestrian_11641428828,Point (127.0035678 37.5056944)
walkway_402,pedestrian_3072843633,Point (127.0136813 37.4968278)
walkway_403,pedestrian_2533109203,Point (126.9897546 37.4939073)
walkway_404,pedestrian_8488812126,Point (127.0089094 37.5133173)
walkway_405,pedestrian_12147442531,Point (126.9864003 37.5021971)
walkway_406,pedestrian_4634856427,Point (127.0254228 37.4710241)
walkway_407,pedestrian_9891988061,Point (127.0187046 37.5159496)
walkway_408,pedestrian_3732523552,Point (127.0321548 37.4748677)
walkway_409,pedestrian_11428504914,Point (127.0069391 37.507027)
walkway_410,pedestrian_8489263448,Point (127.0142468 37.4964903)
walkway_411,pedestrian_9006688701,Point (126.9912102 37.4839709)
walkway_412,pedestrian_8489528651,Point (127.0196906 37.4895233)
walkway_413,pedestrian_7760193442,Point (127.0046841 37.5063008)
walkway_414,pedestrian_9711448794,Point (127.0259874 37.4921147)
walkway_415,pedestrian_4147017218,Point (127.0078686 37.5076354)
walkway_416,pedestrian_2622874644,Point (126.9894149 37.4952181)
walkway_417,pedestrian_1925498694,Point (127.03119 37.4745357)
walkway_418,pedestrian_2622874621,Point (126.9897747 37.4948872)
walkway_419,pedestrian_3089780842,Point (127.0257067 37.4991293)
walkway_420,pedestrian_3804191249,Point (126.9850797 37.4908568)
walkway_421,pedestrian_8526765338,Point (127.0191282 37.4984105)
walkway_422,pedestrian_1962358640,Point (127.0100363 37.5008999)
walkway_423,pedestrian_1962358596,Point (127.0113085 37.5012701)
walkway_424,pedestrian_4146699347,Point (126.9878134 37.4953274)
walkway_425,pedestrian_3827257155,Point (127.0214572 37.4857688)
walkway_426,pedestrian_2622874644,Point (126.9894149 37.4952181)
