uuid,vehicle_entrance_uuid,geometry
vehicle_87,localroad_3088424193,Point (126.9950154 37.50588)
vehicle_88,localroad_1445606439,Point (127.0016021 37.5057151)
vehicle_89,localroad_2244637675,Point (127.0032639 37.5083279)
vehicle_90,localroad_1685716285,Point (126.9853051 37.479292)
vehicle_91,localroad_1430655026,Point (127.0217224 37.5021744)
vehicle_92,localroad_1962358609,Point (127.0091974 37.4986412)
vehicle_93,localroad_9882864421,Point (126.9941245 37.4741353)
vehicle_94,localroad_3800522729,Point (127.0248944 37.4914934)
vehicle_95,localroad_3825549659,Point (127.0289835 37.4910256)
vehicle_96,localroad_1445606439,Point (127.0016021 37.5057151)
vehicle_97,localroad_4185920067,Point (126.9887881 37.4783429)
vehicle_98,localroad_8487538012,Point (127.0068179 37.5073134)
vehicle_99,localroad_4738140916,Point (127.0009618 37.5055294)
vehicle_100,localroad_1925407818,Point (127.0047655 37.4821243)
vehicle_101,localroad_1962358623,Point (127.0101882 37.503944)
vehicle_102,localroad_1925498403,Point (127.0454708 37.4718644)
vehicle_103,localroad_3827257115,Point (127.0208993 37.4840421)
vehicle_104,localroad_2280599507,Point (127.0265779 37.4919997)
vehicle_105,localroad_3827548044,Point (127.0159806 37.49239)
vehicle_106,localroad_1962358583,Point (127.010175 37.5021184)
vehicle_107,localroad_1925407817,Point (127.0042489 37.4819932)
vehicle_108,localroad_8489896381,Point (127.0269036 37.497806)
vehicle_109,localroad_3727772781,Point (127.0304993 37.4740026)
vehicle_110,localroad_436801370,Point (127.0307069 37.4737864)
vehicle_111,localroad_4954438710,Point (127.0141025 37.5198655)
vehicle_112,localroad_2509978764,Point (126.9915271 37.4910431)
vehicle_113,localroad_5628739393,Point (127.0127917 37.4976191)
vehicle_114,localroad_2622713689,Point (127.0000741 37.4992484)
vehicle_115,localroad_4184399724,Point (127.0357379 37.4840218)
vehicle_116,localroad_4185626654,Point (127.0106412 37.5008873)
vehicle_117,localroad_1696934669,Point (126.999993 37.4778685)
vehicle_118,localroad_3827170281,Point (127.0262797 37.4871006)
vehicle_119,localroad_2295372346,Point (127.02098 37.4903076)
vehicle_120,localroad_3112865087,Point (127.0187886 37.49564)
vehicle_121,localroad_2280599507,Point (127.0265779 37.4919997)
vehicle_122,localroad_2533109226,Point (126.9876055 37.4972613)
vehicle_123,localroad_1962358621,Point (127.0104414 37.5024929)
vehicle_124,localroad_4185626654,Point (127.0106412 37.5008873)
vehicle_125,localroad_2623456118,Point (126.9936017 37.4891762)
vehicle_126,localroad_3287124761,Point (127.0003286 37.4807966)
vehicle_127,localroad_3804191165,Point (126.9859898 37.4864885)
vehicle_128,localroad_4185991238,Point (126.9842748 37.4847878)
vehicle_129,localroad_3827548044,Point (127.0159806 37.49239)
vehicle_130,localroad_1430674330,Point (127.0073801 37.4832934)
vehicle_131,localroad_3011545193,Point (127.0468537 37.4730143)
vehicle_132,localroad_2533109226,Point (126.9876055 37.4972613)
vehicle_133,localroad_3112862148,Point (127.0142525 37.4956078)
vehicle_134,localroad_2533109200,Point (126.9889672 37.4935864)
vehicle_135,localroad_2861410666,Point (127.0095713 37.5162598)
vehicle_136,localroad_1430674330,Point (127.0073801 37.4832934)
vehicle_137,localroad_1132441037,Point (127.0010373 37.5108066)
vehicle_138,localroad_2533109223,Point (126.9830425 37.4964934)
vehicle_139,localroad_3827338116,Point (127.0101919 37.4888822)
vehicle_140,localroad_4185805689,Point (126.9953861 37.4849385)
vehicle_141,localroad_436817738,Point (127.0115903 37.5024989)
vehicle_142,localroad_3827337507,Point (127.0089235 37.4835923)
vehicle_143,localroad_414683494,Point (127.0371526 37.4617177)
vehicle_144,localroad_6337049852,Point (127.0322125 37.4848913)
vehicle_145,localroad_4184585272,Point (127.0426607 37.4685657)
vehicle_146,localroad_2295372346,Point (127.02098 37.4903076)
vehicle_147,localroad_3827170276,Point (127.0316269 37.4870324)
vehicle_148,localroad_1132441037,Point (127.0010373 37.5108066)
vehicle_149,localroad_571449373,Point (127.0234914 37.4984882)
vehicle_150,localroad_2932859105,Point (127.0275072 37.4941516)
vehicle_151,localroad_2533109219,Point (126.9883078 37.4961653)
vehicle_152,localroad_3088864938,Point (127.0172885 37.5153735)
vehicle_153,localroad_2622713691,Point (126.9983159 37.4992582)
vehicle_154,localroad_1925498516,Point (127.0421599 37.4729346)
vehicle_155,localroad_1962358596,Point (127.0113085 37.5012701)
vehicle_156,localroad_3825549657,Point (127.0253334 37.4905603)
vehicle_157,localroad_1696934690,Point (127.0015179 37.4801609)
vehicle_158,localroad_595776308,Point (127.0164075 37.517563)
vehicle_159,localroad_4185626653,Point (127.0119577 37.5094558)
vehicle_160,localroad_4185626653,Point (127.0119577 37.5094558)
vehicle_161,localroad_4185626653,Point (127.0119577 37.5094558)
vehicle_162,localroad_4185626653,Point (127.0119577 37.5094558)
vehicle_163,localroad_1696934735,Point (126.9938079 37.4836053)
vehicle_164,localroad_4954438710,Point (127.0141025 37.5198655)
vehicle_165,localroad_11641428828,Point (127.0035678 37.5056944)
vehicle_166,localroad_1925380126,Point (127.0324325 37.4746683)
vehicle_167,localroad_436854295,Point (127.0066911 37.4782428)
vehicle_168,localroad_1685695012,Point (126.9859583 37.4785856)
vehicle_169,localroad_3804191165,Point (126.9859898 37.4864885)
vehicle_170,localroad_4107783310,Point (126.9963924 37.486061)
vehicle_171,localroad_3112865087,Point (127.0187886 37.49564)
vehicle_172,localroad_4101372795,Point (126.9844667 37.4793186)
vehicle_173,localroad_1685686596,Point (126.9839232 37.4787916)
vehicle_174,localroad_2280599507,Point (127.0265779 37.4919997)
vehicle_175,localroad_12147442531,Point (126.9864003 37.5021971)
vehicle_176,localroad_12147442531,Point (126.9864003 37.5021971)
vehicle_177,localroad_927736373,Point (127.044505 37.4696685)
vehicle_178,localroad_595776308,Point (127.0164075 37.517563)
vehicle_179,localroad_4186016193,Point (126.9833082 37.4895547)
vehicle_180,localroad_4184425791,Point (127.0413948 37.4793882)
vehicle_181,localroad_1685686384,Point (126.9861902 37.4833484)
vehicle_182,localroad_1925498528,Point (127.0442535 37.4730782)
vehicle_183,localroad_2861410666,Point (127.0095713 37.5162598)
vehicle_184,localroad_4185715616,Point (127.0090411 37.4807881)
vehicle_185,localroad_4634856227,Point (127.0246111 37.4712518)
vehicle_186,localroad_1685716285,Point (126.9853051 37.479292)
vehicle_187,localroad_3212533179,Point (127.0168075 37.4997004)
vehicle_188,localroad_2622713689,Point (127.0000741 37.4992484)
vehicle_189,localroad_2295372314,Point (127.0164416 37.4924545)
vehicle_190,localroad_4634856426,Point (127.0252748 37.471323)
vehicle_191,localroad_3827337507,Point (127.0089235 37.4835923)
vehicle_192,localroad_4954438710,Point (127.0141025 37.5198655)
vehicle_193,localroad_3827170281,Point (127.0262797 37.4871006)
vehicle_194,localroad_600377852,Point (127.017733 37.5162662)
vehicle_195,localroad_436817738,Point (127.0115903 37.5024989)
vehicle_196,localroad_2533109219,Point (126.9883078 37.4961653)
vehicle_197,localroad_4185879872,Point (126.9926751 37.4816991)
vehicle_198,localroad_2623456230,Point (126.9917238 37.4933121)
vehicle_199,localroad_3825549659,Point (127.0289835 37.4910256)
vehicle_200,localroad_3825549659,Point (127.0289835 37.4910256)
vehicle_201,localroad_4944067989,Point (127.0252056 37.4989723)
vehicle_202,localroad_436882863,Point (126.9875481 37.4777163)
vehicle_203,localroad_1962358636,Point (127.0099907 37.4995893)
vehicle_204,localroad_12147442531,Point (126.9864003 37.5021971)
vehicle_205,localroad_3112158621,Point (127.0141109 37.5000071)
vehicle_206,localroad_2623345916,Point (126.9953376 37.4913154)
vehicle_207,localroad_2623345916,Point (126.9953376 37.4913154)
vehicle_208,localroad_2533109226,Point (126.9876055 37.4972613)
vehicle_209,localroad_1696934669,Point (126.999993 37.4778685)
vehicle_210,localroad_4184070814,Point (127.0282642 37.4925089)
vehicle_211,localroad_4899542143,Point (127.0150808 37.50435)
vehicle_212,localroad_3827170269,Point (127.030976 37.4868354)
vehicle_213,localroad_436844216,Point (126.9980012 37.4808984)
vehicle_214,localroad_11641428828,Point (127.0035678 37.5056944)
vehicle_215,localroad_4634856429,Point (127.0264227 37.471657)
vehicle_216,localroad_3804191167,Point (126.9871497 37.4866112)
vehicle_217,localroad_4147053966,Point (127.0059882 37.5070592)
vehicle_218,localroad_3088864938,Point (127.0172885 37.5153735)
vehicle_219,localroad_2509978764,Point (126.9915271 37.4910431)
vehicle_220,localroad_1430655018,Point (127.0247036 37.502368)
vehicle_221,localroad_4185835030,Point (126.9973292 37.4819279)
vehicle_222,localroad_2280599507,Point (127.0265779 37.4919997)
vehicle_223,localroad_3804191181,Point (126.9831418 37.4874249)
vehicle_224,localroad_4185683883,Point (127.0128561 37.4838664)
vehicle_225,localroad_2280599507,Point (127.0265779 37.4919997)
vehicle_226,localroad_436849906,Point (126.9928961 37.4874454)
vehicle_227,localroad_3800522729,Point (127.0248944 37.4914934)
vehicle_228,localroad_1962358589,Point (127.0116707 37.4997092)
vehicle_229,localroad_2244637675,Point (127.0032639 37.5083279)
vehicle_230,localroad_1430674330,Point (127.0073801 37.4832934)
vehicle_231,localroad_8489062936,Point (127.0105114 37.5033457)
vehicle_232,localroad_8487538014,Point (127.0076217 37.5075597)
vehicle_233,localroad_3398354555,Point (127.0446528 37.4733433)
vehicle_234,localroad_1962358595,Point (127.0106018 37.499595)
vehicle_235,localroad_3827548475,Point (127.0189385 37.4942201)
vehicle_236,localroad_2624211577,Point (126.983327 37.4909038)
vehicle_237,localroad_3827338139,Point (127.0123279 37.4899383)
vehicle_238,localroad_1962358623,Point (127.0101882 37.503944)
vehicle_239,localroad_2622874586,Point (126.991374 37.498158)
vehicle_240,localroad_4634856427,Point (127.0254228 37.4710241)
vehicle_241,localroad_2295372346,Point (127.02098 37.4903076)
vehicle_242,localroad_9657790297,Point (127.028914 37.486291)
vehicle_243,localroad_436853888,Point (126.9979961 37.4999388)
vehicle_244,localroad_2533109223,Point (126.9830425 37.4964934)
vehicle_245,localroad_4185626654,Point (127.0106412 37.5008873)
vehicle_246,localroad_2295372338,Point (127.019529 37.4944069)
vehicle_247,localroad_1962358617,Point (127.0093392 37.5037131)
vehicle_248,localroad_1962358589,Point (127.0116707 37.4997092)
vehicle_249,localroad_1962358583,Point (127.010175 37.5021184)
vehicle_250,localroad_3825549664,Point (127.0290187 37.4927368)
vehicle_251,localroad_1445606439,Point (127.0016021 37.5057151)
vehicle_252,localroad_8485785002,Point (126.9877523 37.4769365)
vehicle_253,localroad_2863407020,Point (127.0460832 37.4717575)
vehicle_254,localroad_1132441037,Point (127.0010373 37.5108066)
vehicle_255,localroad_436817738,Point (127.0115903 37.5024989)
vehicle_256,localroad_2623456230,Point (126.9917238 37.4933121)
vehicle_257,localroad_1962358614,Point (127.0093502 37.5008791)
vehicle_258,localroad_4944067989,Point (127.0252056 37.4989723)
vehicle_259,localroad_3212533179,Point (127.0168075 37.4997004)
vehicle_260,localroad_3804191167,Point (126.9871497 37.4866112)
vehicle_261,localroad_1962358640,Point (127.0100363 37.5008999)
vehicle_262,localroad_3092109566,Point (126.9970753 37.483539)
vehicle_263,localroad_1962358621,Point (127.0104414 37.5024929)
vehicle_264,localroad_3274307602,Point (126.996645 37.4841716)
vehicle_265,localroad_4185626617,Point (127.0129813 37.5192765)
vehicle_266,localroad_11641428828,Point (127.0035678 37.5056944)
vehicle_267,localroad_2244637675,Point (127.0032639 37.5083279)
vehicle_268,localroad_3112159933,Point (127.0175285 37.498569)
vehicle_269,localroad_3242828917,Point (126.9859904 37.4875291)
vehicle_270,localroad_1962358596,Point (127.0113085 37.5012701)
vehicle_271,localroad_1685716272,Point (126.9824652 37.4827532)
vehicle_272,localroad_11738027546,Point (127.0094829 37.5074792)
vehicle_273,localroad_2624211606,Point (126.9883316 37.4933273)
vehicle_274,localroad_3827337508,Point (127.0096961 37.4837398)
vehicle_275,localroad_2509978199,Point (126.9921346 37.4900382)
vehicle_276,localroad_1685716285,Point (126.9853051 37.479292)
vehicle_277,localroad_2623456118,Point (126.9936017 37.4891762)
vehicle_278,localroad_8487538014,Point (127.0076217 37.5075597)
vehicle_279,localroad_2280599507,Point (127.0265779 37.4919997)
vehicle_280,localroad_4634856421,Point (127.0237147 37.4712669)
vehicle_281,localroad_1696934743,Point (126.9957527 37.4843821)
vehicle_282,localroad_2624211577,Point (126.983327 37.4909038)
vehicle_283,localroad_1925498403,Point (127.0454708 37.4718644)
vehicle_284,localroad_1965713723,Point (127.0142296 37.486372)
vehicle_285,localroad_3089166486,Point (127.0083783 37.4876403)
vehicle_286,localroad_1696934728,Point (126.9951485 37.4827176)
vehicle_287,localroad_1962358640,Point (127.0100363 37.5008999)
vehicle_288,localroad_3827548490,Point (127.0154793 37.4958692)
vehicle_289,localroad_1925407818,Point (127.0047655 37.4821243)
vehicle_290,localroad_2622874644,Point (126.9894149 37.4952181)
vehicle_291,localroad_1694782908,Point (127.0395006 37.4823056)
vehicle_292,localroad_436844219,Point (126.9964804 37.4832788)
vehicle_293,localroad_3827337506,Point (127.0082766 37.4834687)
vehicle_294,localroad_1445606439,Point (127.0016021 37.5057151)
vehicle_295,localroad_4185991283,Point (126.9853692 37.4804621)
vehicle_296,localroad_4185626654,Point (127.0106412 37.5008873)
vehicle_297,localroad_8489062935,Point (127.0096832 37.5030681)
vehicle_298,localroad_3212533179,Point (127.0168075 37.4997004)
vehicle_299,localroad_3212533179,Point (127.0168075 37.4997004)
vehicle_300,localroad_414684345,Point (127.0282365 37.4885147)
vehicle_301,localroad_3212533179,Point (127.0168075 37.4997004)
vehicle_302,localroad_11073569991,Point (127.0196369 37.5006366)
vehicle_303,localroad_2244637696,Point (127.0187917 37.515873)
vehicle_304,localroad_5935888704,Point (126.9980348 37.4815387)
vehicle_305,localroad_1430655026,Point (127.0217224 37.5021744)
vehicle_306,localroad_3827169518,Point (127.0335006 37.4854006)
vehicle_307,localroad_3088864938,Point (127.0172885 37.5153735)
vehicle_308,localroad_8487538014,Point (127.0076217 37.5075597)
vehicle_309,localroad_1696934689,Point (126.9994385 37.4799567)
vehicle_310,localroad_3827170317,Point (127.0265707 37.4879865)
vehicle_311,localroad_4738140916,Point (127.0009618 37.5055294)
vehicle_312,localroad_2533109194,Point (126.9837325 37.4918781)
vehicle_313,localroad_2280599507,Point (127.0265779 37.4919997)
vehicle_314,localroad_3827548459,Point (127.0174313 37.4932165)
vehicle_315,localroad_1925498528,Point (127.0442535 37.4730782)
vehicle_316,localroad_3827337502,Point (127.0043103 37.4830809)
vehicle_317,localroad_436844221,Point (126.9950087 37.4855112)
vehicle_318,localroad_3827548039,Point (127.0147246 37.4922607)
vehicle_319,localroad_3212533179,Point (127.0168075 37.4997004)
vehicle_320,localroad_3800522729,Point (127.0248944 37.4914934)
vehicle_321,localroad_436844221,Point (126.9950087 37.4855112)
vehicle_322,localroad_927740211,Point (127.0476085 37.4723712)
vehicle_323,localroad_3827338117,Point (127.0138384 37.4889285)
vehicle_324,localroad_3212533179,Point (127.0168075 37.4997004)
vehicle_325,localroad_2863416045,Point (127.0463481 37.4718667)
vehicle_326,localroad_4184585271,Point (127.0443351 37.4698145)
vehicle_327,localroad_2533109206,Point (126.9828711 37.4939988)
vehicle_328,localroad_3547291976,Point (127.0561314 37.4469673)
vehicle_329,localroad_1962358636,Point (127.0099907 37.4995893)
vehicle_330,localroad_4185834991,Point (126.9943157 37.4852297)
vehicle_331,localroad_436841230,Point (127.0137152 37.5151987)
vehicle_332,localroad_436854331,Point (127.02421 37.4969787)
vehicle_333,localroad_1694784080,Point (127.0397371 37.4844534)
vehicle_334,localroad_2533109193,Point (126.9827787 37.4916643)
vehicle_335,localroad_3112159933,Point (127.0175285 37.498569)
vehicle_336,localroad_1962358609,Point (127.0091974 37.4986412)
vehicle_337,localroad_1696934706,Point (126.999224 37.481276)
vehicle_338,localroad_2295372344,Point (127.0172056 37.493687)
vehicle_339,localroad_3827169492,Point (127.030352 37.4851377)
vehicle_340,localroad_4147053966,Point (127.0059882 37.5070592)
vehicle_341,localroad_4147053966,Point (127.0059882 37.5070592)
vehicle_342,localroad_2622874644,Point (126.9894149 37.4952181)
vehicle_343,localroad_3132428230,Point (127.012364 37.4948111)
vehicle_344,localroad_5406500185,Point (127.0163255 37.4815446)
vehicle_345,localroad_2533109227,Point (126.9838173 37.4974141)
vehicle_346,localroad_3827337502,Point (127.0043103 37.4830809)
vehicle_347,localroad_436844219,Point (126.9964804 37.4832788)
vehicle_348,localroad_1685716286,Point (126.9839594 37.4793348)
vehicle_349,localroad_3827548464,Point (127.0166219 37.493501)
vehicle_350,localroad_436817738,Point (127.0115903 37.5024989)
vehicle_351,localroad_1962358595,Point (127.0106018 37.499595)
vehicle_352,localroad_436817738,Point (127.0115903 37.5024989)
vehicle_353,localroad_2295372345,Point (127.0213601 37.4932981)
vehicle_354,localroad_1925380126,Point (127.0324325 37.4746683)
vehicle_355,localroad_1962358621,Point (127.0104414 37.5024929)
vehicle_356,localroad_571449373,Point (127.0234914 37.4984882)
vehicle_357,localroad_4738140916,Point (127.0009618 37.5055294)
vehicle_358,localroad_1965713684,Point (127.0127345 37.4878003)
vehicle_359,localroad_2477265753,Point (127.0200649 37.5101355)
vehicle_360,localroad_2533109226,Point (126.9876055 37.4972613)
vehicle_361,localroad_4184425789,Point (127.0419479 37.4800049)
vehicle_362,localroad_3804191161,Point (126.9885131 37.4864449)
vehicle_363,localroad_1685716300,Point (126.9824315 37.4782949)
vehicle_364,localroad_927740145,Point (127.0499637 37.4713216)
vehicle_365,localroad_1962358596,Point (127.0113085 37.5012701)
vehicle_366,localroad_3804191046,Point (126.9853513 37.4857721)
vehicle_367,localroad_1694782638,Point (127.0386293 37.4804501)
vehicle_368,localroad_1685716305,Point (126.982337 37.4805383)
vehicle_369,localroad_11641428831,Point (126.995199 37.5031505)
vehicle_370,localroad_2280599507,Point (127.0265779 37.4919997)
vehicle_371,localroad_4107783310,Point (126.9963924 37.486061)
vehicle_372,localroad_3825549664,Point (127.0290187 37.4927368)
vehicle_373,localroad_1132441037,Point (127.0010373 37.5108066)
vehicle_374,localroad_1925407821,Point (127.004016 37.4826516)
vehicle_375,localroad_436844215,Point (126.998817 37.4796936)
vehicle_376,localroad_2533109219,Point (126.9883078 37.4961653)
vehicle_377,localroad_1925407817,Point (127.0042489 37.4819932)
vehicle_378,localroad_436817738,Point (127.0115903 37.5024989)
vehicle_379,localroad_4185626654,Point (127.0106412 37.5008873)
vehicle_380,localroad_1132441037,Point (127.0010373 37.5108066)
vehicle_381,localroad_11738027546,Point (127.0094829 37.5074792)
vehicle_382,localroad_11641428831,Point (126.995199 37.5031505)
vehicle_383,localroad_2533109208,Point (126.9868818 37.4941718)
vehicle_384,localroad_3101791329,Point (127.0272447 37.4984526)
vehicle_385,localroad_2280599507,Point (127.0265779 37.4919997)
vehicle_386,localroad_2551950254,Point (126.9867077 37.4983133)
vehicle_387,localroad_1962358596,Point (127.0113085 37.5012701)
vehicle_388,localroad_2533109226,Point (126.9876055 37.4972613)
vehicle_389,localroad_2551950254,Point (126.9867077 37.4983133)
vehicle_390,localroad_2533109201,Point (126.9855227 37.4939036)
vehicle_391,localroad_600377807,Point (127.0187502 37.5183522)
vehicle_392,localroad_3827548461,Point (127.015206 37.4932266)
vehicle_393,localroad_1685716305,Point (126.982337 37.4805383)
vehicle_394,localroad_2622810001,Point (126.9976503 37.4978263)
vehicle_395,localroad_436817738,Point (127.0115903 37.5024989)
vehicle_396,localroad_4185626654,Point (127.0106412 37.5008873)
vehicle_397,localroad_1925498528,Point (127.0442535 37.4730782)
vehicle_398,localroad_436841230,Point (127.0137152 37.5151987)
vehicle_399,localroad_3804191167,Point (126.9871497 37.4866112)
vehicle_400,localroad_11738027546,Point (127.0094829 37.5074792)
vehicle_401,localroad_11641428828,Point (127.0035678 37.5056944)
vehicle_402,localroad_3072843633,Point (127.0136813 37.4968278)
vehicle_403,localroad_2533109203,Point (126.9897546 37.4939073)
vehicle_404,localroad_4185626642,Point (127.0094246 37.5123928)
vehicle_405,localroad_12147442531,Point (126.9864003 37.5021971)
vehicle_406,localroad_4634856427,Point (127.0254228 37.4710241)
vehicle_407,localroad_2244637696,Point (127.0187917 37.515873)
vehicle_408,localroad_1925380126,Point (127.0324325 37.4746683)
vehicle_409,localroad_8487538014,Point (127.0076217 37.5075597)
vehicle_410,localroad_3827548497,Point (127.0141856 37.4968824)
vehicle_411,localroad_9006688701,Point (126.9912102 37.4839709)
vehicle_412,localroad_3827258688,Point (127.0200072 37.4895498)
vehicle_413,localroad_11641428829,Point (127.0048158 37.5060798)
vehicle_414,localroad_2280599507,Point (127.0265779 37.4919997)
vehicle_415,localroad_4147017218,Point (127.0078686 37.5076354)
vehicle_416,localroad_2622874644,Point (126.9894149 37.4952181)
vehicle_417,localroad_436801370,Point (127.0307069 37.4737864)
vehicle_418,localroad_2622874644,Point (126.9894149 37.4952181)
vehicle_419,localroad_4944067989,Point (127.0252056 37.4989723)
vehicle_420,localroad_3804191248,Point (126.9846275 37.4908709)
vehicle_421,localroad_3112159933,Point (127.0175285 37.498569)
vehicle_422,localroad_1962358640,Point (127.0100363 37.5008999)
vehicle_423,localroad_1962358596,Point (127.0113085 37.5012701)
vehicle_424,localroad_2533109218,Point (126.9874829 37.4958184)
vehicle_425,localroad_3827257155,Point (127.0214572 37.4857688)
vehicle_426,localroad_2622874644,Point (126.9894149 37.4952181)
vehicle_427,localroad_436882871,Point (126.99437 37.48042)
vehicle_428,localroad_11738027546,Point (127.0094829 37.5074792)
vehicle_429,localroad_4101372794,Point (126.9844478 37.4787688)
vehicle_430,localroad_3112174491,Point (127.014187 37.494527)
vehicle_431,localroad_1965713733,Point (127.012958 37.4857479)
vehicle_432,localroad_3804191161,Point (126.9885131 37.4864449)
vehicle_433,localroad_8487538014,Point (127.0076217 37.5075597)
vehicle_434,localroad_2280599507,Point (127.0265779 37.4919997)
vehicle_435,localroad_2280599507,Point (127.0265779 37.4919997)
vehicle_436,localroad_1925498417,Point (127.0397491 37.4719704)
vehicle_437,localroad_3719486100,Point (126.9963022 37.4845936)
vehicle_438,localroad_4185715633,Point (127.005926 37.482552)
vehicle_439,localroad_3827258466,Point (127.0190295 37.4864223)
vehicle_440,localroad_3827258466,Point (127.0190295 37.4864223)
